LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;PAIS;PAIS;REGION_NAME;PROVINCIA_NAME;COMUNA_NAME;ZONAL;ACTIVO
4150131;SID;San Isidro;SER-69351;SER-69351;;;;SER-71292;true
4150132;SJL;San Juan De Lurigancho;SER-69351;SER-69351;;;;SER-71292;true
4150133;SJM;San Juan De Miraflores;SER-69351;SER-69351;;;;SER-71292;true
4150134;SLS;San Luis;SER-69351;SER-69351;;;;SER-71292;true
4150135;SMD;San Martin De Porres;SER-69351;SER-69351;;;;SER-71292;true
4150140;SDS;Santiago De Surco;SER-69351;SER-69351;;;;SER-71292;true
4150141;SUR;Surquillo;SER-69351;SER-69351;;;;SER-71292;true
4150142;VIL;Villa El Salvador;SER-69351;SER-69351;;;;SER-71292;true
4150716;SAN;San Antonio;SER-69351;SER-69351;;;;SER-71631;true
4180101;MOQ;Moquegua;SER-69351;SER-69351;;;;SER-71626;true
4200101;PIU;Piura;SER-69351;SER-69351;;;;SER-71627;true
728;ADM;Administracion Central;SER-69352;SER-69352;;;;SER-71654;true
327;BLNS;Bulnes;SER-69352;SER-69352;SER-69362;SER-69378;SER-71607;SER-69532;true
356;BTCH;Butacheuques;SER-69352;SER-69352;SER-69355;SER-69376;SER-69483;SER-69524;true
276;CNTS;Canitas;SER-69352;SER-69352;SER-69355;SER-69387;SER-69455;SER-69527;true
68;COPI;Copiapó;SER-69352;SER-69352;SER-71601;SER-71602;SER-71608;SER-69518;true
352;ESPL;El Espolon;SER-69352;SER-69352;SER-69355;SER-69393;SER-69510;SER-69519;true
21;ESTC;Estacion Central;SER-69352;SER-69352;SER-69367;SER-69394;SER-71609;SER-69529;true
718;IGTC;Guaitecas;SER-69352;SER-69352;SER-69357;SER-69371;SER-69431;SER-69524;true
259;HLLN;Huilli;SER-69352;SER-69352;SER-69355;SER-69392;SER-69463;SER-69520;true
344;HUIT;Huito;SER-69352;SER-69352;SER-69355;SER-69387;SER-69405;SER-69527;true
263;IMLL;Isla Maillen;SER-69352;SER-69352;SER-69355;SER-69387;SER-69475;SER-69527;true
347;LGRT;La Gruta;SER-69352;SER-69352;SER-69355;SER-69392;SER-69463;SER-69520;true
167;LSTR;Lastarria;SER-69352;SER-69352;SER-69354;SER-69373;SER-69430;SER-69532;true
4150130;SBJ;San Borja;SER-69351;SER-69351;;;;SER-71292;true
324;LNRS;Linares;SER-69352;SER-69352;SER-69363;SER-71603;SER-71610;SER-69528;true
73;LSPJ;Lo Espejo;SER-69352;SER-69352;SER-69367;SER-69394;SER-71611;SER-69529;true
119;MHIN;Mehuin;SER-69352;SER-69352;SER-69361;SER-69397;SER-69495;SER-69530;true
301;MIAMI;Miami;SER-69352;SER-69352;;;;SER-71655;true
332;MLCH;Mulchen;SER-69352;SER-69352;SER-69366;SER-69375;SER-71612;SER-69525;true
362;PRTQ;Puerto Rio Tranquilo;SER-69352;SER-69352;SER-69357;SER-69384;SER-69492;SER-69519;true
77;PAINE;Paine;SER-69352;SER-69352;SER-69367;SER-69388;SER-71613;SER-69529;true
78;PAGC;Pedro Aguirre Cerda;SER-69352;SER-69352;SER-69367;SER-69394;SER-71614;SER-69529;true
10450002;PMCO;Pemuco;SER-69352;SER-69352;SER-69362;SER-69378;SER-71615;SER-69522;true
272;PUEL;Puelo;SER-69352;SER-69352;SER-69355;SER-69387;SER-69415;SER-69527;true
330;QIRH;Quirihue;SER-69352;SER-69352;SER-69362;SER-71604;SER-71616;SER-69522;true
39;RENCA;Renca;SER-69352;SER-69352;SER-69367;SER-69394;SER-71617;SER-69529;true
353;RENC;Rio Encuentro;SER-69352;SER-69352;SER-69355;SER-69393;SER-69466;SER-69527;true
46;SNJQ;San Joaquin;SER-69352;SER-69352;SER-69367;SER-69394;SER-71618;SER-69529;true
717;SJCT;San Juan De La Costa;SER-69352;SER-69352;SER-69355;SER-69392;SER-71619;SER-69520;true
16;SNRM;San Ramon;SER-69352;SER-69352;SER-69367;SER-69394;SER-69496;SER-69529;true
334;STBB;Santa Barbara;SER-69352;SER-69352;SER-69366;SER-69375;SER-71620;SER-69519;true
285;TAUN;Tenaun;SER-69352;SER-69352;SER-69355;SER-69376;SER-69425;SER-69524;true
297;TOME;Tome;SER-69352;SER-69352;SER-69366;SER-69377;SER-71621;SER-69523;true
364;LTPR;Villa La Tapera;SER-69352;SER-69352;SER-69357;SER-69381;SER-69446;SER-69519;true
269;VSLC;Villa Santa Lucia;SER-69352;SER-69352;SER-69355;SER-69393;SER-69408;SER-69519;true
328;YNGY;Yungay Nuble;SER-69352;SER-69352;SER-69362;SER-69378;SER-71622;SER-69522;true
31101;ALB;Albania;SER-69353;SER-69353;;;;SER-71642;true
30102;APA;Apartado;SER-69353;SER-69353;;;;SER-71632;true
31703;ARM;Armenia;SER-69353;SER-69353;;;;SER-71648;true
31204;BAR;Barranquilla;SER-69353;SER-69353;;;;SER-71643;true
30105;BEL;Bello;SER-69353;SER-69353;;;;SER-71632;true
30906;BOG;Bogota;SER-69353;SER-69353;;;;SER-71640;true
31907;BOL;Bolivar;SER-69353;SER-69353;;;;SER-71650;true
32208;BUC;Bucaramanga;SER-69353;SER-69353;;;;SER-71653;true
30109;BUE;Buenaventura;SER-69353;SER-69353;;;;SER-71632;true
32210;CAD;Caldas;SER-69353;SER-69353;;;;SER-71653;true
30611;CAL;Cali;SER-69353;SER-69353;;;;SER-71637;true
30312;CAT;Caloto;SER-69353;SER-69353;;;;SER-71634;true
31513;CAR;Cartagena;SER-69353;SER-69353;;;;SER-71646;true
30414;COT;Cota;SER-69353;SER-69353;;;;SER-71635;true
30915;CUC;Cucuta;SER-69353;SER-69353;;;;SER-71640;true
31216;DUI;Duitama;SER-69353;SER-69353;;;;SER-71643;true
30117;FAC;Facatativa;SER-69353;SER-69353;;;;SER-71632;true
30418;FUN;Fundacion;SER-69353;SER-69353;;;;SER-71635;true
32119;GUA;Guatape;SER-69353;SER-69353;;;;SER-71652;true
30120;GUT;Guatica;SER-69353;SER-69353;;;;SER-71632;true
30321;IBA;Ibague;SER-69353;SER-69353;;;;SER-71634;true
30522;ITG;Itagui;SER-69353;SER-69353;;;;SER-71636;true
30123;CEJ;La Ceja;SER-69353;SER-69353;;;;SER-71632;true
30824;DEJ;La Deja;SER-69353;SER-69353;;;;SER-71639;true
30825;EST;La Estrella;SER-69353;SER-69353;;;;SER-71639;true
31026;MAG;Magangue;SER-69353;SER-69353;;;;SER-71641;true
30327;MAN;Manizales;SER-69353;SER-69353;;;;SER-71634;true
31428;MED;Medellin;SER-69353;SER-69353;;;;SER-71645;true
31829;MON;Montelibano;SER-69353;SER-69353;;;;SER-71649;true
30230;MOR;Monteria;SER-69353;SER-69353;;;;SER-71633;true
31631;NEI;Neiva;SER-69353;SER-69353;;;;SER-71647;true
31132;OVE;Ovejas;SER-69353;SER-69353;;;;SER-71642;true
30133;PAS;Pasto;SER-69353;SER-69353;;;;SER-71632;true
30134;PER;Pereira;SER-69353;SER-69353;;;;SER-71632;true
30135;PIO;Piojo;SER-69353;SER-69353;;;;SER-71632;true
31236;PLA;Plazuelas;SER-69353;SER-69353;;;;SER-71643;true
32037;RIO;Riohacha;SER-69353;SER-69353;;;;SER-71651;true
30938;RIN;Rionegro;SER-69353;SER-69353;;;;SER-71640;true
32039;SAB;Sabaneta;SER-69353;SER-69353;;;;SER-71651;true
30440;SAN;Santa Elena;SER-69353;SER-69353;;;;SER-71635;true
30341;SAM;Santa Marta;SER-69353;SER-69353;;;;SER-71634;true
30742;SIN;Sincelejo;SER-69353;SER-69353;;;;SER-71638;true
31343;TIB;Tibacuy;SER-69353;SER-69353;;;;SER-71644;true
30344;TOL;Tolu;SER-69353;SER-69353;;;;SER-71634;true
30945;TUN;Tunja;SER-69353;SER-69353;;;;SER-71640;true
30146;TUR;Turbaco;SER-69353;SER-69353;;;;SER-71632;true
30147;VAL;Valledupar;SER-69353;SER-69353;;;;SER-71632;true
30148;VIL;Villavicencio;SER-69353;SER-69353;;;;SER-71632;true
4040126;YAN;Yanahuara;SER-69351;SER-69351;;;;SER-71624;true
4070101;CAL;Callao;SER-69351;SER-69351;;;;SER-71623;true
4070102;BEL;Bellavista;SER-69351;SER-69351;;;;SER-71623;true
4070104;PER;La Perla;SER-69351;SER-69351;;;;SER-71623;true
4070106;VEN;Ventanilla;SER-69351;SER-69351;;;;SER-71623;true
4110101;ICA;Ica;SER-69351;SER-69351;;;;SER-71629;true
4120101;HUA;Huancayo;SER-69351;SER-69351;;;;SER-71630;true
4130101;TRU;Trujillo;SER-69351;SER-69351;;;;SER-71628;true
4140101;CHI;Chiclayo;SER-69351;SER-69351;;;;SER-71625;true
4150101;LMA;Lima;SER-69351;SER-69351;;;;SER-71292;true
4150103;ATE;Ate;SER-69351;SER-69351;;;;SER-71292;true
4150104;BAR;Barranco;SER-69351;SER-69351;;;;SER-71292;true
4150108;CHO;Chorrillos;SER-69351;SER-69351;;;;SER-71292;true
4150110;COM;Comas;SER-69351;SER-69351;;;;SER-71292;true
4150112;IND;Independencia;SER-69351;SER-69351;;;;SER-71292;true
4150113;JMR;Jesus Maria;SER-69351;SER-69351;;;;SER-71292;true
4150114;MOL;La Molina;SER-69351;SER-69351;;;;SER-71292;true
4150116;LIN;Lince;SER-69351;SER-69351;;;;SER-71292;true
4150118;LGN;Lurigancho;SER-69351;SER-69351;;;;SER-71292;true
4150119;LRN;Lurin;SER-69351;SER-69351;;;;SER-71292;true
4150122;MIR;Miraflores;SER-69351;SER-69351;;;;SER-71292;true
4150126;PHR;Punta Hermosa;SER-69351;SER-69351;;;;SER-71292;true
